,Name,Type,Family,Direction,Baseline,Case,White Space,ISO 15924 Code,Status,Diacritics,Contextual Forms,Complex Positioning,Reordering,Split Graphs,Ligatures,OpenType Tag,Unicode Range
92,Tani,alphabet,Indic,LTR,[unspecified],[unknown],[unspecified],[none],Current,yes,[unknown],[unknown],[unknown],[unknown],required,[none],N/A
93,Eskaya,syllabary,Insular Southeast Asian,LTR,[unspecified],[unknown],between words,[none],Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
94,"Meitei Mayek (Meithei, Meetei)",abugida,Indic,LTR,hanging,no,between words,Mtei / 337 (alphasyllabic),Current,yes,yes,[unknown],yes,[unknown],[unspecified],mtei,ABC0..ABFF
95,Telugu,abugida,Indic,LTR,bottom,no,between words,Telu / 340 (alphasyllabic),Current,yes,yes,yes,no,no,required,"telu, tel2",0C00..0C7F
96,Ethiopic (Geʻez),abugida,African,LTR,bottom,no,between words,Ethi / 430 (syllabic),Current,yes,yes,no,[unknown],[unknown],none,ethi,1200..137F
97,Mende Kikakui,abugida,African,RTL,bottom,no,[unspecified],Mend / 438 (syllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],required,mend,1E800..1E8DF
98,Thaana,alphabet,Indic,RTL bidirectional,bottom,no,discretionary,Thaa / 170 (right-to-left alphabetic),Current,yes,[unknown],[unknown],no,[unknown],[unspecified],thaa, 0780..07BF 
99,Fula-1 (Dita),alphabet,African,[unspecified],[unspecified],no,[unspecified],[none],Current,no,yes,[unknown],no,[unknown],none,[none],N/A
100,Miao (Pollard),abugida,East Asian,LTR,bottom,no,between words,Plrd / 282 (left-to-right alphabetic),Current,yes,[unknown],yes,[unknown],[unknown],none,plrd,16F00..16F9F
101,Thai,abugida,Mainland Southeast Asian,LTR,bottom,no,discretionary,Thai / 352 (alphasyllabic),Current,yes,no,yes,yes,yes,none,thai,0024
102,Fula-2 (Ba),alphabet,African,LTR,bottom,no,[unspecified],[none],Current,no,[unknown],no,[unknown],no,[unspecified],[none],N/A
103,"Modi, Moḍī",abugida,Indic,LTR,hanging,no,between words,Modi / 324 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],required,modi,11600..1165F
